NUMBER;NAME;SYMBOL;WEIGHT;BP;IP;RADIUS;MP;DENSITY;EN
18;Argon;Ar;39.948;87.4;15.76;1.9;84;1.6626;
2;Helium;He;4.0026;4.21;24.58;1.2;1;0.1664;
54;Xenon;Xe;131.3;166;12.14;2.2;161;5.495;
86;Radon;Rn;222;211.3;10.75;;202;9.96;
10;Neon;Ne;20.179;27.2;21.56;1.6;24;0.8387;
36;Krypton;Kr;83.8;120.8;13.97;2;116;3.488;
